Race,Gender,Candidate,Votes
White,Men,Clinton,2588
White,Women,Clinton,3907
White,Men,Trump,5177
White,Women,Trump,4725
Black,Men,Clinton,1007
Black,Women,Clinton,1616
Black,Men,Trump,160
Black,Women,Trump,69
Latinx,Men,Clinton,774
Latinx,Women,Clinton,1017
Latinx,Men,Trump,393
Latinx,Women,Trump,368
